
#天津,#genre#
BRTV财经HD,http://111.196.191.248:5555/rtp/239.3.1.116:8000 -- 0.11 MB/s
BRTV财经HD,http://111.199.2.123:8686/rtp/239.3.1.116:8000 -- 0.65 MB/s
BRTV财经HD,http://123.120.203.36:8888/rtp/239.3.1.116:8000 -- 0.50 MB/s
BRTV财经HD,http://123.113.186.22:9000/rtp/239.3.1.116:8000 -- 0.47 MB/s
BRTV财经HD,http://123.117.35.133:88/rtp/239.3.1.116:8000 -- 0.57 MB/s
BRTV财经HD,http://123.123.23.254:5400/rtp/239.3.1.116:8000 -- 0.60 MB/s
BTV国际频道,http://221.217.129.155:8180/rtp/239.3.1.235:8000 -- 0.61 MB/s
BTV国际频道,http://223.72.24.180:8012/rtp/239.3.1.235:8000 -- 0.57 MB/s
BTV国际频道,http://123.113.186.22:9000/rtp/239.3.1.235:8000 -- 0.48 MB/s
BTV国际频道,http://123.117.35.133:88/rtp/239.3.1.235:8000 -- 0.57 MB/s
BTV国际频道,http://111.192.0.32:4022/rtp/239.3.1.235:8000 -- 0.11 MB/s
BTV国际频道,http://123.120.203.36:8888/rtp/239.3.1.235:8000 -- 0.54 MB/s
BTV国际频道,http://123.123.23.254:5400/rtp/239.3.1.235:8000 -- 0.41 MB/s
BTV国际频道,http://111.199.2.123:8686/rtp/239.3.1.235:8000 -- 0.64 MB/s
BTV国际频道,http://222.131.14.106:4000/rtp/239.3.1.235:8000 -- 0.63 MB/s
军事,http://123.123.23.254:5400/rtp/239.3.1.76:4120 -- 0.26 MB/s
军事,http://123.120.203.36:8888/rtp/239.3.1.76:4120 -- 0.27 MB/s
军事,http://123.117.35.133:88/rtp/239.3.1.76:4120 -- 0.27 MB/s
军事,http://111.199.2.123:8686/rtp/239.3.1.76:4120 -- 0.27 MB/s
军事,http://111.196.191.248:5555/rtp/239.3.1.76:4120 -- 0.19 MB/s
军事,http://222.131.14.106:4000/rtp/239.3.1.76:4120 -- 0.27 MB/s
军事,http://221.217.129.155:8180/rtp/239.3.1.76:4120 -- 0.27 MB/s
军事,http://123.113.186.22:9000/rtp/239.3.1.76:4120 -- 0.27 MB/s
军旅剧场,http://222.131.14.106:4000/rtp/239.3.1.68:4120 -- 0.27 MB/s
军旅剧场,http://123.120.203.36:8888/rtp/239.3.1.68:4120 -- 0.27 MB/s
军旅剧场,http://111.192.0.32:4022/rtp/239.3.1.68:4120 -- 0.23 MB/s
军旅剧场,http://111.199.2.123:8686/rtp/239.3.1.68:4120 -- 0.27 MB/s
军旅剧场,http://123.123.23.254:5400/rtp/239.3.1.68:4120 -- 0.27 MB/s
军旅剧场,http://123.113.186.22:9000/rtp/239.3.1.68:4120 -- 0.27 MB/s
军旅剧场,http://123.117.35.133:88/rtp/239.3.1.68:4120 -- 0.27 MB/s
动画,http://123.113.186.22:9000/rtp/239.3.1.80:4120 -- 0.27 MB/s
动画,http://123.123.23.254:5400/rtp/239.3.1.80:4120 -- 0.27 MB/s
动画,http://123.117.35.133:88/rtp/239.3.1.80:4120 -- 0.27 MB/s
动画,http://123.120.203.36:8888/rtp/239.3.1.80:4120 -- 0.27 MB/s
动画,http://111.192.0.32:4022/rtp/239.3.1.80:4120 -- 0.13 MB/s
动画,http://221.217.129.155:8180/rtp/239.3.1.80:4120 -- 0.16 MB/s
动画,http://111.199.2.123:8686/rtp/239.3.1.80:4120 -- 0.27 MB/s
动画,http://111.196.191.248:5555/rtp/239.3.1.80:4120 -- 0.15 MB/s
动画,http://222.131.14.106:4000/rtp/239.3.1.80:4120 -- 0.27 MB/s
古装剧场,http://123.113.186.22:9000/rtp/239.3.1.69:4120 -- 0.27 MB/s
古装剧场,http://111.199.2.123:8686/rtp/239.3.1.69:4120 -- 0.27 MB/s
古装剧场,http://222.131.14.106:4000/rtp/239.3.1.69:4120 -- 0.27 MB/s
古装剧场,http://111.196.191.248:5555/rtp/239.3.1.69:4120 -- 0.11 MB/s
古装剧场,http://123.117.35.133:88/rtp/239.3.1.69:4120 -- 0.27 MB/s
古装剧场,http://123.123.23.254:5400/rtp/239.3.1.69:4120 -- 0.25 MB/s
古装剧场,http://123.120.203.36:8888/rtp/239.3.1.69:4120 -- 0.27 MB/s
古装剧场,http://111.192.0.32:4022/rtp/239.3.1.69:4120 -- 0.13 MB/s
台球,http://111.199.2.123:8686/rtp/239.3.1.85:4120 -- 0.27 MB/s
台球,http://123.113.187.204:8000/rtp/239.3.1.85:4120 -- 0.20 MB/s
台球,http://111.196.191.248:5555/rtp/239.3.1.85:4120 -- 0.20 MB/s
台球,http://123.117.35.133:88/rtp/239.3.1.85:4120 -- 0.27 MB/s
台球,http://123.120.203.36:8888/rtp/239.3.1.85:4120 -- 0.27 MB/s
台球,http://111.192.0.32:4022/rtp/239.3.1.85:4120 -- 0.13 MB/s
台球,http://123.123.23.254:5400/rtp/239.3.1.85:4120 -- 0.24 MB/s
台球,http://123.113.186.22:9000/rtp/239.3.1.85:4120 -- 0.27 MB/s
台球,http://222.131.14.106:4000/rtp/239.3.1.85:4120 -- 0.27 MB/s
嘉佳卡通,http://111.199.2.123:8686/rtp/239.3.1.147:9268 -- 0.28 MB/s
嘉佳卡通,http://222.131.14.106:4000/rtp/239.3.1.147:9268 -- 0.30 MB/s
嘉佳卡通,http://123.120.203.36:8888/rtp/239.3.1.147:9268 -- 0.30 MB/s
嘉佳卡通,http://111.196.191.248:5555/rtp/239.3.1.147:9268 -- 0.15 MB/s
嘉佳卡通,http://123.117.35.133:88/rtp/239.3.1.147:9268 -- 0.30 MB/s
嘉佳卡通,http://123.123.23.254:5400/rtp/239.3.1.147:9268 -- 0.31 MB/s
嘉佳卡通,http://123.113.186.22:9000/rtp/239.3.1.147:9268 -- 0.30 MB/s
